发布时间,电影名,标题,豆瓣评分,影评链接
2018/8/22 20:23,《回到未来》,差点因为1985年错过的好电影,5,https://movie.douban.com/review/9609398/
2018/7/11 23:32,《我不是药神》,“我不想当什么救世主，我只想赚钱”,5,https://movie.douban.com/review/9508937/
2018/2/2 15:48,《黑镜 第四季》,我更喜欢1里的娱乐至死,4,https://movie.douban.com/review/9121786/
2018/2/2 15:28,《虎啸龙吟》,上一步我这么推崇的电视剧还是琅琊榜1,5,https://movie.douban.com/review/9121725/
2018/2/2 15:05,《寻梦环游记》,人有三次死亡,4,https://movie.douban.com/review/9121668/
2018/2/2 14:55,《全职高手 第一季》,大学时追的小说今天被搬上了荧幕,5,https://movie.douban.com/review/9121631/
2018/1/31 12:54,《寻秦记》,不要拿内地版那种垃圾来玷污经典,5,https://movie.douban.com/review/9116121/
2017/12/29 13:07,《惊变28周》,熊孩子有毒,4,https://movie.douban.com/review/9026208/
2017/11/29 12:36,《白日梦想家》,只要热爱，你就并非一无是处,4,https://movie.douban.com/review/8953359/
2017/11/26 14:13,《楚门的世界》,欲望永不会被填满,5,https://movie.douban.com/review/8947099/
2017/11/23 16:02,《天才枪手》,谁再敢说学习好没用？,5,https://movie.douban.com/review/8941187/
2017/11/22 11:51,《忌日快乐》,渣男与狗，天长地久,5,https://movie.douban.com/review/8938983/
2017/11/15 23:16,《决胜21点》,快速增长有毒,4,https://movie.douban.com/review/8926084/
2017/11/2 11:51,《印度的女儿》,愿我们能走出蒙昧，愿所有人都能睡得安稳,5,https://movie.douban.com/review/8899416/
2017/10/29 21:43,《死神来了》,生活的细节和没头脑的征兆才最恐怖,4,https://movie.douban.com/review/8893470/
2017/10/17 13:25,《22年后的自白》,与恶龙缠斗过久，自身亦成为恶龙,5,https://movie.douban.com/review/8870706/
2017/10/6 13:24,《飓风营救》,我有个神威无敌的爹地,5,https://movie.douban.com/review/8849751/
2017/10/1 13:34,《名侦探柯南：纯黑的恶梦》,从个人英雄到群众英雄,4,https://movie.douban.com/review/8840748/
2017/10/1 13:25,《羞羞的铁拳》,2017年度爆笑喜剧片,5,https://movie.douban.com/review/8840735/
2017/9/14 20:56,《荡寇风云》,这不是我能改变的啊,5,https://movie.douban.com/review/8813554/
2017/9/2 10:32,《绣春刀II：修罗战场》,有命运在前，可生活还得继续,5,https://movie.douban.com/review/8790104/
2017/8/6 15:34,《战狼2》,中国的个人英雄精神觉醒，真为吴京高兴,5,https://movie.douban.com/review/8728672/
2017/6/25 22:35,《贝尔科实验》,不要考验人性,4,https://movie.douban.com/review/8626259/
2017/6/25 22:06,《拆弹专家》,我不是什么专家，我只是运气更好,3,https://movie.douban.com/review/8626194/
2017/6/25 21:43,《和食双神：最后的约定》,为了让你再做8年，我要活到130岁,5,https://movie.douban.com/review/8626120/
2017/6/13 13:15,《异星觉醒》,好久没看见这么激动，值得回味的电影,5,https://movie.douban.com/review/8599501/
2017/6/10 23:00,《华尔街之狼》,小李子没有凭借这部戏拿奖，真是遗憾,5,https://movie.douban.com/review/8594166/
2017/6/4 17:06,《神奇女侠》,我拯救今天，你拯救世界,4,https://movie.douban.com/review/8581436/
2017/4/29 17:02,《看不见的客人》,司法无用，老百姓怎么办,3,https://movie.douban.com/review/8507862/
2017/4/21 14:16,《特工绍特》,对不起，我只是国家机器,2,https://movie.douban.com/review/8491121/
2017/4/21 13:38,《太空旅客》,去宇宙秀恩爱吧,4,https://movie.douban.com/review/8491062/
2017/4/20 11:17,《遗愿清单》,我们有各种借口，但又怎样？,5,https://movie.douban.com/review/8488980/
2017/4/18 9:15,《金福南杀人事件始末》,写给都市的冷漠,4,https://movie.douban.com/review/8484746/
2017/4/17 13:55,《127小时》,经历过绝望，才知道乐观多可贵,5,https://movie.douban.com/review/8483313/
2017/4/16 21:59,《点球成金》,六年前的增长黑客,5,https://movie.douban.com/review/8482193/
2017/4/13 22:12,《间谍同盟》,我要你弹钢琴，因为我爱你,5,https://movie.douban.com/review/8476420/
2017/4/11 11:08,《香水》,怎样证明我们曾经存在？,5,https://movie.douban.com/review/8472032/
2017/4/10 20:40,《黑镜 第二季》,关于人性，我们一无所知,5,https://movie.douban.com/review/8471123/
2017/4/10 13:50,《黑镜 第一季》,科技灾难和人性的思考,5,https://movie.douban.com/review/8470392/
2017/4/8 17:02,《分裂》,什么才是“正常”？,5,https://movie.douban.com/review/8466196/
2017/4/8 9:05,《决战食神》,父亲的认可,4,https://movie.douban.com/review/8465355/
2017/4/6 10:20,《成为沃伦·巴菲特》,巴菲特教我如何成为更好的人,5,https://movie.douban.com/review/8461566/
2017/4/1 13:37,《听·见 林俊杰》,生活的态度,5,https://movie.douban.com/review/8450345/
2017/3/27 16:28,《金鸡SSS》,赚钱而已，不用这么认真吧,5,https://movie.douban.com/review/8440677/
2017/3/24 13:42,《黑衣人3》,有些秘密你永远不知道,5,https://movie.douban.com/review/8434070/
2017/3/23 11:55,《喜剧之王》,我们又到这里了（Here We Are Again）,4,https://movie.douban.com/review/8432027/
2017/3/9 9:45,《十二公民》,人生境遇决定了你看世界的角度,5,https://movie.douban.com/review/8405802/
2017/3/8 15:00,《雪国列车》,你被洗脑了吗？,5,https://movie.douban.com/review/8404515/
2017/3/2 9:33,《星际迷航2：暗黑无界》,没什么背景知识，就是特效看得爽,5,https://movie.douban.com/review/8392059/
2017/2/28 12:12,《名侦探柯南：世纪末的魔术师》,与其说重温剧情，不如说缅怀过去,5,https://movie.douban.com/review/8388860/
2017/2/27 22:57,《我左眼见到鬼》,学会放手，珍惜眼前人,5,https://movie.douban.com/review/8388236/
2017/2/21 15:40,《火影忍者剧场版：博人传》,长大和变老，万物在更替,5,https://movie.douban.com/review/8375116/
2017/2/20 17:09,《西游伏妖篇》,这不是传统的西游，但足够真实,5,https://movie.douban.com/review/8373189/
2017/2/20 16:21,《金装律师 第一季》,自信是最强杀招,5,https://movie.douban.com/review/8373078/
2017/2/17 12:44,《孤独的幸存者》,这个选择做得对吗？,4,https://movie.douban.com/review/8365899/
2017/2/17 11:57,《伸冤人》,成为任何人需要代价,5,https://movie.douban.com/review/8365831/
2017/2/15 21:22,《深海浩劫》,脱离了上帝视角，其实我们对灾难一无所知,5,https://movie.douban.com/review/8362372/
2016/12/5 9:18,《你的名字。》,画面美，但是无法打动我,3,https://movie.douban.com/review/8211521/
2016/12/4 7:40,《三少爷的剑》,武侠风，讲得却依然是儿女情长的悲剧,3,https://movie.douban.com/review/8209149/
2016/11/12 16:31,《航海王之黄金城》,甭管什么套路，take my money！,5,https://movie.douban.com/review/8168834/
2016/11/7 10:07,《奇异博士》,每个人心里都有一颗种子,5,https://movie.douban.com/review/8161173/
2016/10/31 10:15,《驴得水》,我给你讲个笑话，你可别哭,3,https://movie.douban.com/review/8151510/
2016/10/29 21:11,《黑海夺金》,论幽闭/利益对人性的考验,4,https://movie.douban.com/review/8149352/
2016/10/10 10:33,《湄公河行动》,大国崛起,5,https://movie.douban.com/review/8123537/
2016/9/12 12:05,《微微一笑很倾城》,雄鹰和井蛙各自幸福,5,https://movie.douban.com/review/8081936/
2016/9/4 12:28,《成龙的特技》,成龙是真正的电影人,5,https://movie.douban.com/review/8071970/
2016/9/4 12:27,《谍影重重5》,个人英雄时代在远去,3,https://movie.douban.com/review/8071967/
2016/8/28 18:48,《陆垚知马俐》,你不要，人家不会给你,4,https://movie.douban.com/review/8063651/
2016/8/25 14:08,《嫌疑人X的献身》,绝望的爱情,5,https://movie.douban.com/review/8059169/
2016/8/19 12:17,《寿司之神》,“重复”，让他变得受人尊敬,5,https://movie.douban.com/review/8049928/
2016/7/25 13:54,《绝地逃亡》,嗯，大哥的烂片,1,https://movie.douban.com/review/8007484/
2016/6/27 14:01,《惊天魔盗团2》,你敢再扯一点吗？,2,https://movie.douban.com/review/7954001/
2016/5/25 13:49,《疯狂动物城》,改变固有认知，不要随意打标签,3,https://movie.douban.com/review/7910037/
